"","NBREC"
"1959:01",10560.000000
"1959:02",10624.000000
"1959:03",10482.000000
"1959:04",10424.000000
"1959:05",10317.000000
"1959:06",10043.000000
"1959:07",10148.000000
"1959:08",10177.000000
"1959:09",10202.000000
"1959:10",10150.000000
"1959:11",10194.000000
"1959:12",10168.000000
"1960:01",10194.000000
"1960:02",10074.000000
"1960:03",10155.000000
"1960:04",10161.000000
"1960:05",10344.000000
"1960:06",10451.000000
"1960:07",10615.000000
"1960:08",10782.000000
"1960:09",10932.000000
"1960:10",11049.000000
"1960:11",11166.000000
"1960:12",11172.000000
"1961:01",11259.000000
"1961:02",11096.000000
"1961:03",11038.000000
"1961:04",11066.000000
"1961:05",10940.000000
"1961:06",11024.000000
"1961:07",11070.000000
"1961:08",11169.000000
"1961:09",11251.000000
"1961:10",11342.000000
"1961:11",11384.000000
"1961:12",11366.000000
"1962:01",11403.000000
"1962:02",11233.000000
"1962:03",11170.000000
"1962:04",11258.000000
"1962:05",11323.000000
"1962:06",11226.000000
"1962:07",11302.000000
"1962:08",11231.000000
"1962:09",11303.000000
"1962:10",11387.000000
"1962:11",11372.000000
"1962:12",11344.000000
"1963:01",11421.000000
"1963:02",11290.000000
"1963:03",11255.000000
"1963:04",11319.000000
"1963:05",11216.000000
"1963:06",11139.000000
"1963:07",11232.000000
"1963:08",11155.000000
"1963:09",11184.000000
"1963:10",11137.000000
"1963:11",11198.000000
"1963:12",11397.000000
"1964:01",11369.000000
"1964:02",11261.000000
"1964:03",11285.000000
"1964:04",11326.000000
"1964:05",11263.000000
"1964:06",11326.000000
"1964:07",11387.000000
"1964:08",11480.000000
"1964:09",11518.000000
"1964:10",11567.000000
"1964:11",11598.000000
"1964:12",11747.000000
"1965:01",11653.000000
"1965:02",11479.000000
"1965:03",11472.000000
"1965:04",11571.000000
"1965:05",11417.000000
"1965:06",11467.000000
"1965:07",11544.000000
"1965:08",11531.000000
"1965:09",11517.000000
"1965:10",11630.000000
"1965:11",11655.000000
"1965:12",11872.000000
"1966:01",11875.000000
"1966:02",11711.000000
"1966:03",11604.000000
"1966:04",11621.000000
"1966:05",11575.000000
"1966:06",11549.000000
"1966:07",11629.000000
"1966:08",11430.000000
"1966:09",11460.000000
"1966:10",11465.000000
"1966:11",11598.000000
"1966:12",11690.000000
"1967:01",11924.000000
"1967:02",11916.000000
"1967:03",12237.000000
"1967:04",12342.000000
"1967:05",12329.000000
"1967:06",12351.000000
"1967:07",12607.000000
"1967:08",12598.000000
"1967:09",12758.000000
"1967:10",12959.000000
"1967:11",12999.000000
"1967:12",12952.000000
"1968:01",12993.000000
"1968:02",12815.000000
"1968:03",12527.000000
"1968:04",12432.000000
"1968:05",12389.000000
"1968:06",12557.000000
"1968:07",12928.000000
"1968:08",12875.000000
"1968:09",12931.000000
"1968:10",13086.000000
"1968:11",13104.000000
"1968:12",13021.000000
"1969:01",12893.000000
"1969:02",12879.000000
"1969:03",12751.000000
"1969:04",12468.000000
"1969:05",12470.000000
"1969:06",12410.000000
"1969:07",12239.000000
"1969:08",12565.000000
"1969:09",12743.000000
"1969:10",12754.000000
"1969:11",12969.000000
"1969:12",13049.000000
"1970:01",13128.000000
"1970:02",13019.000000
"1970:03",13173.000000
"1970:04",13364.000000
"1970:05",13040.000000
"1970:06",13197.000000
"1970:07",12799.000000
"1970:08",13445.000000
"1970:09",13847.000000
"1970:10",14017.000000
"1970:11",14055.000000
"1970:12",14225.000000
"1971:01",14240.000000
"1971:02",14488.000000
"1971:03",14479.000000
"1971:04",14606.000000
"1971:05",14698.000000
"1971:06",14564.000000
"1971:07",14302.000000
"1971:08",14380.000000
"1971:09",14928.000000
"1971:10",14854.000000
"1971:11",14864.000000
"1971:12",15104.000000
"1972:01",15347.000000
"1972:02",15331.000000
"1972:03",15382.000000
"1972:04",15534.000000
"1972:05",15628.000000
"1972:06",15809.000000
"1972:07",15597.000000
"1972:08",15623.000000
"1972:09",15459.000000
"1972:10",15637.000000
"1972:11",15833.000000
"1972:12",15595.000000
"1973:01",15548.000000
"1973:02",15120.000000
"1973:03",15099.000000
"1973:04",15020.000000
"1973:05",14830.000000
"1973:06",14903.000000
"1973:07",15067.000000
"1973:08",14657.000000
"1973:09",14909.000000
"1973:10",15464.000000
"1973:11",15585.000000
"1973:12",15723.000000
"1974:01",16174.000000
"1974:02",15933.000000
"1974:03",15817.000000
"1974:04",15561.000000
"1974:05",15491.000000
"1974:06",15587.000000
"1974:07",15615.000000
"1974:08",15592.000000
"1974:09",15731.000000
"1974:10",16021.000000
"1974:11",16361.000000
"1974:12",16970.000000
"1975:01",17010.000000
"1975:02",17176.000000
"1975:03",17370.000000
"1975:04",17398.000000
"1975:05",17291.000000
"1975:06",17504.000000
"1975:07",17351.000000
"1975:08",17461.000000
"1975:09",17452.000000
"1975:10",17408.000000
"1975:11",17794.000000
"1975:12",17704.000000
"1976:01",17549.000000
"1976:02",17734.000000
"1976:03",17824.000000
"1976:04",17675.000000
"1976:05",17826.000000
"1976:06",17820.000000
"1976:07",17714.000000
"1976:08",17953.000000
"1976:09",17948.000000
"1976:10",17983.000000
"1976:11",18268.000000
"1976:12",18335.000000
"1977:01",18353.000000
"1977:02",18227.000000
"1977:03",18301.000000
"1977:04",18406.000000
"1977:05",18379.000000
"1977:06",18208.000000
"1977:07",18425.000000
"1977:08",17858.000000
"1977:09",18247.000000
"1977:10",17658.000000
"1977:11",18150.000000
"1977:12",18420.000000
"1978:01",18806.000000
"1978:02",19155.000000
"1978:03",18958.000000
"1978:04",18851.000000
"1978:05",18443.000000
"1978:06",18774.000000
"1978:07",18801.000000
"1978:08",18772.000000
"1978:09",18934.000000
"1978:10",18832.000000
"1978:11",19169.000000
"1978:12",18885.000000
"1979:01",18818.000000
"1979:02",18423.000000
"1979:03",18439.000000
"1979:04",18587.000000
"1979:05",17788.000000
"1979:06",18390.000000
"1979:07",18822.000000
"1979:08",18923.000000
"1979:09",18667.000000
"1979:10",18353.000000
"1979:11",18492.000000
"1979:12",19248.000000
"1980:01",19452.000000
"1980:02",19027.000000
"1980:03",17978.000000
"1980:04",18726.000000
"1980:05",20164.000000
"1980:06",20503.000000
"1980:07",20654.000000
"1980:08",20594.000000
"1980:09",20011.000000
"1980:10",19837.000000
"1980:11",20091.000000
"1980:12",20328.000000
"1981:01",20348.000000
"1981:02",20557.000000
"1981:03",21086.000000
"1981:04",20857.000000
"1981:05",20224.000000
"1981:06",20295.000000
"1981:07",20653.000000
"1981:08",21017.000000
"1981:09",21332.000000
"1981:10",21553.000000
"1981:11",21840.000000
"1981:12",21956.000000
"1982:01",21349.000000
"1982:02",20994.000000
"1982:03",21206.000000
"1982:04",21014.000000
"1982:05",21461.000000
"1982:06",21268.000000
"1982:07",21541.000000
"1982:08",21926.000000
"1982:09",21871.000000
"1982:10",22553.000000
"1982:11",22921.000000
"1982:12",23152.000000
"1983:01",22854.000000
"1983:02",23597.000000
"1983:03",23939.000000
"1983:04",24295.000000
"1983:05",24420.000000
"1983:06",24599.000000
"1983:07",24480.000000
"1983:08",24320.000000
"1983:09",24509.000000
"1983:10",24866.000000
"1983:11",24497.000000
"1983:12",24595.000000
"1984:01",24740.000000
"1984:02",25269.000000
"1984:03",24878.000000
"1984:04",24572.000000
"1984:05",22978.000000
"1984:06",24846.000000
"1984:07",25203.000000
"1984:08",25105.000000
"1984:09",25300.000000
"1984:10",25233.000000
"1984:11",25650.000000
"1984:12",26272.000000
"1985:01",26801.000000
"1985:02",27090.000000
"1985:03",27042.000000
"1985:04",27469.000000
"1985:05",27408.000000
"1985:06",28437.000000
"1985:07",28641.000000
"1985:08",29215.000000
"1985:09",29385.000000
"1985:10",29864.000000
"1985:11",29583.000000
"1985:12",30643.000000
"1986:01",31396.000000
"1986:02",31255.000000
"1986:03",31799.000000
"1986:04",32276.000000
"1986:05",33013.000000
"1986:06",33818.000000
"1986:07",34394.000000
"1986:08",34921.000000
"1986:09",35238.000000
"1986:10",35875.000000
"1986:11",36856.000000
"1986:12",38449.000000
"1987:01",39052.000000
"1987:02",38743.000000
"1987:03",38550.000000
"1987:04",38959.000000
"1987:05",39209.000000
"1987:06",39129.000000
"1987:07",38712.000000
"1987:08",38882.000000
"1987:09",38701.000000
"1987:10",39340.000000
"1987:11",39034.000000
"1987:12",38601.000000
"1988:01",38950.000000
"1988:02",39204.000000
"1988:03",38965.000000
"1988:04",39464.000000
"1988:05",39585.000000
"1988:06",39854.000000
"1988:07",39910.000000
"1988:08",40014.000000
"1988:09",39609.000000
"1988:10",39803.000000
"1988:11",39941.000000
"1988:12",39957.000000
"1989:01",39897.000000
"1989:02",39801.000000
"1989:03",39376.000000
"1989:04",39141.000000
"1989:05",38844.000000
"1989:06",38574.000000
"1989:07",38956.000000
"1989:08",38780.000000
"1989:09",38999.000000
"1989:10",39467.000000
"1989:11",39830.000000
"1989:12",40277.000000
"1990:01",40326.000000
"1990:02",39761.000000
"1990:03",40550.000000
"1990:04",40790.000000
"1990:05",40252.000000
"1990:06",40178.000000
"1990:07",40180.000000
"1990:08",40051.000000
"1990:09",40419.000000
"1990:10",40252.000000
"1990:11",40709.000000
"1990:12",41494.000000
"1991:01",41809.000000
"1991:02",41865.000000
"1991:03",41748.000000
"1991:04",41850.000000
"1991:05",42156.000000
"1991:06",42461.000000
"1991:07",42462.000000
"1991:08",42862.000000
"1991:09",43097.000000
"1991:10",43654.000000
"1991:11",44478.000000
"1991:12",45371.000000
"1992:01",46094.000000
"1992:02",47646.000000
"1992:03",48376.000000
"1992:04",49023.000000
"1992:05",49240.000000
"1992:06",49081.000000
"1992:07",49411.000000
"1992:08",50096.000000
"1992:09",50979.000000
"1992:10",52652.000000
"1992:11",53633.000000
"1992:12",54260.000000
"1993:01",54623.000000
"1993:02",54797.000000
"1993:03",55032.000000
"1993:04",55246.000000
"1993:05",56580.000000
"1993:06",56909.000000
"1993:07",57373.000000
"1993:08",57660.000000
"1993:09",58355.000000
"1993:10",59427.000000
"1993:11",60226.000000
"1993:12",60463.000000
"1994:01",60646.000000
"1994:02",60637.000000
"1994:03",60431.000000
"1994:04",60368.000000
"1994:05",59884.000000
"1994:06",59669.000000
"1994:07",59689.000000
"1994:08",59343.000000
"1994:09",59266.000000
"1994:10",59136.000000
"1994:11",59199.000000
"1994:12",59195.000000
"1995:01",59074.000000
"1995:02",58780.000000
"1995:03",58341.000000
"1995:04",57874.000000
"1995:05",57629.000000
"1995:06",57109.000000
"1995:07",57351.000000
"1995:08",57193.000000
"1995:09",57043.000000
"1995:10",56612.000000
"1995:11",56141.000000
"1995:12",56129.000000
"1996:01",55653.000000
"1996:02",54775.000000
"1996:03",55592.000000
"1996:04",55064.000000
"1996:05",54040.000000
"1996:06",53652.000000
"1996:07",52854.000000
"1996:08",51847.000000
"1996:09",50912.000000
"1996:10",49789.000000
"1996:11",49597.000000
"1996:12",49908.000000
